N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,IsCalculated
1, 0, 1, n, 8071.323, 0.002, 0.0, 0.0, 0
0, 1, 1, H, 7288.969, 0.001, 0.0, 0.0, 0
1, 1, 2, H, 13135.720, 0.001, 2224.573, 0.002, 0
2, 1, 3, H, 14949.794, 0.002, 8481.821, 0.004, 0
1, 2, 3, He, 14931.203, 0.002, 7718.058, 0.003, 0
3, 1, 4, H, 26001.696, 105.851, 5501.242, 105.851, 0
2, 2, 4, He, 2424.911, 0.001, 28295.673, 0.005, 0
1, 3, 4, Li, 25320.172, 212.132, 4618.058, 212.132, 0
4, 1, 5, H, 38492.440, 700.000, 1081.821, 700.000, 0
3, 2, 5, He, 11386.234, 50.000, 27405.674, 50.000, 0
2, 3, 5, Li, 11678.880, 50.000, 26330.674, 50.000, 0
5, 1, 6, H, 41863.763, 264.906, 5781.821, 264.906, 0
4, 2, 6, He, 17594.139, 1.014, 29269.092, 1.014, 0
3, 3, 6, Li, 14086.335, 0.474, 31994.542, 0.474, 0
2, 4, 6, Be, 18374.488, 5.468, 26924.035, 5.468, 0
5, 2, 7, He, 26110.287, 30.004, 28824.267, 30.004, 0
4, 3, 7, Li, 14907.696, 0.472, 39244.504, 0.472, 0
3, 4, 7, Be, 15769.510, 0.472, 37600.336, 0.472, 0
2, 5, 7, B, 27867.929, 70.711, 24719.563, 70.711, 0
6, 2, 8, He, 31597.954, 7.077, 31407.923, 7.077, 0
5, 3, 8, Li, 20945.221, 0.559, 41278.302, 0.559, 0
4, 4, 8, Be, 4941.663, 0.035, 56499.506, 0.037, 0
3, 5, 8, B, 22921.015, 1.107, 37737.800, 1.107, 0
2, 6, 8, C, 35094.056, 23.068, 24782.405, 23.068, 0
7, 2, 9, He, 40818.467, 62.471, 30258.733, 62.471, 0
6, 3, 9, Li, 24953.964, 1.944, 45340.883, 1.944, 0
5, 4, 9, Be, 11347.690, 0.378, 58164.803, 0.378, 0
4, 5, 9, B, 12415.806, 0.975, 56314.332, 0.975, 0
3, 6, 9, C, 28913.964, 2.108, 39033.821, 2.108, 0
7, 3, 10, Li, 33444.601, 50.001, 44921.569, 50.001, 0
6, 4, 10, Be, 12606.683, 0.382, 64977.133, 0.382, 0
5, 5, 10, B, 12050.826, 0.325, 64750.635, 0.326, 0
4, 6, 10, C, 15698.633, 0.338, 60320.475, 0.338, 0
3, 7, 10, N, 39699, 400, 35538, 400, 1
8, 3, 11, Li, 40788.137, 42.819, 45649.356, 42.819, 0
7, 4, 11, Be, 20174.076, 6.355, 65481.062, 6.355, 0
6, 5, 11, B, 8668.030, 0.377, 76204.755, 0.377, 0
5, 6, 11, C, 10650.155, 0.898, 73440.275, 0.898, 0
4, 7, 11, N, 24960.522, 180.000, 58347.555, 180.000, 0
8, 4, 12, Be, 25076.508, 15.005, 68649.954, 15.005, 0
7, 5, 12, B, 13368.903, 1.400, 79575.204, 1.400, 0
6, 6, 12, C, 0.0, 0.0, 92161.754, 0.014, 0
5, 7, 12, N, 17338.094, 1.000, 74041.306, 1.000, 0
4, 8, 12, O, 32063.348, 44.567, 58533.697, 44.567, 0
9, 4, 13, Be, 35158.445, 50.000, 66639.339, 50.000, 0
8, 5, 13, B, 16562.255, 1.069, 84453.176, 1.069, 0
7, 6, 13, C, 3125.011, 0.005, 97108.065, 0.017, 0
6, 7, 13, N, 5345.456, 0.270, 94105.267, 0.270, 0
5, 8, 13, O, 23110.735, 9.526, 75557.634, 9.526, 0
10, 4, 14, Be, 39882.396, 108.061, 69986.712, 108.062, 0
9, 5, 14, B, 23663.732, 21.213, 85423.022, 21.213, 0
8, 6, 14, C, 3019.894, 0.004, 105284.506, 0.019, 0
7, 7, 14, N, 2863.419, 0.002, 104658.627, 0.017, 0
6, 8, 14, O, 8006.457, 0.075, 98733.235, 0.076, 0
5, 9, 14, F, 33608, 401, 72349, 401, 1
10, 5, 15, B, 28966.930, 22.375, 88191.147, 22.375, 0
9, 6, 15, C, 9873.145, 0.800, 106502.578, 0.800, 0
8, 7, 15, N, 101.508, 0.011, 115491.861, 0.022, 0
7, 8, 15, O, 2855.457, 0.503, 111955.558, 0.503, 0
6, 9, 15, F, 16777.002, 133.793, 97251.659, 133.793, 0
5, 10, 15, Ne, 41386, 503, 71860, 503, 1
11, 5, 16, B, 37139, 401, 88091, 401, 1
10, 6, 16, C, 13694.119, 3.578, 110752.927, 3.578, 0
9, 7, 16, N, 5682.026, 2.306, 117982.666, 2.307, 0
8, 8, 16, O, -4736.998, 0.002, 127619.336, 0.019, 0
7, 9, 16, F, 10680.257, 8.321, 111419.727, 8.321, 0
6, 10, 16, Ne, 23988.741, 19.840, 97328.889, 19.840, 0
12, 5, 17, B, 43716.310, 136.069, 89584.413, 136.069, 0
11, 6, 17, C, 21036.584, 17.383, 111481.785, 17.383, 0
10, 7, 17, N, 7870.813, 15.021, 123865.202, 15.021, 0
9, 8, 17, O, -809.002, 0.208, 131762.663, 0.208, 0
8, 9, 17, F, 1951.701, 0.248, 128219.606, 0.249, 0
7, 10, 17, Ne, 16485.174, 50.000, 112903.780, 50.000, 0
6, 11, 17, Na, 35173, 401, 93433, 401, 1
13, 5, 18, B, 52322, 801, 89050, 801, 1
12, 6, 18, C, 24924.030, 30.010, 115665.662, 30.010, 0
11, 7, 18, N, 13117.130, 20.016, 126690.208, 20.016, 0
10, 8, 18, O, -782.070, 0.793, 139807.054, 0.793, 0
9, 9, 18, F, 873.429, 0.593, 137369.202, 0.593, 0
8, 10, 18, Ne, 5319.100, 4.660, 132141.176, 4.661, 0
7, 11, 18, Na, 25318, 401, 111360, 401, 1
14, 5, 19, B, 59364, 401, 90079, 401, 1
13, 6, 19, C, 32833.383, 107.707, 115827.632, 107.707, 0
12, 7, 19, N, 15860.443, 16.423, 132018.218, 16.423, 0
11, 8, 19, O, 3332.161, 2.946, 143764.147, 2.946, 0
10, 9, 19, F, -1487.405, 0.070, 147801.358, 0.074, 0
9, 10, 19, Ne, 1750.953, 0.570, 143780.647, 0.571, 0
8, 11, 19, Na, 12928.600, 12.002, 131820.645, 12.002, 0
7, 12, 19, Mg, 31950, 298, 112017, 298, 1
14, 6, 20, C, 37560.063, 200.849, 119172.275, 200.849, 0
13, 7, 20, N, 21766.492, 52.596, 134183.492, 52.596, 0
