0,1,N-Z,N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,BETA_DECAYENERGY,dBETA_DECAYENERGY,ATOMICMASS,dATOMICMASS,IsCalculated
1,0,1,1,0,1,n,8071.31806,0.00044,0,0,782.347,0.0004,1008664.916,0.00047,0
2,,-1,0,1,1,H,7288.971064,0.000013,0,0,,,1007825.032,0.000014,0
3,0,0,1,1,2,H,13135.7229,0.000015,1112.2831,0.0002,,,2014101.778,0.000015,0
4,0,1,2,1,3,H,14949.8109,0.00008,2827.2654,0.0003,18.59202,0.00006,3016049.281,0.00008,0
5,,-1,1,2,3,He,14931.21888,0.00006,2572.68044,0.00015,-13736,2000,3016029.322,0.00006,0
6,,-3,0,3,3,Li,28667,2000,-2267,667,,,3030775,2147,1
7,0,2,3,1,4,H,24621.129,100,1720.4491,25,22196.2131,100,4026431.867,107.354,0
8,,0,2,2,4,He,2424.91587,0.00015,7073.9156,0.0002,-22898.274,212.132,4002603.254,0.00016,0
9,,-2,1,3,4,Li,25323.19,212.132,1153.7603,53.033,,,4027185.561,227.733,0
10,0,3,4,1,5,H,32892.447,89.443,1336.3592,17.8885,21661.2131,91.6515,5035311.492,96.02,0
11,,1,3,2,5,He,11231.234,20,5512.1325,4,-447.6529,53.8516,5012057.224,21.47,0
12,,-1,2,3,5,Li,11678.887,50,5266.1325,10,-25460,2003,5012537.8,53.677,0
13,,-3,1,4,5,Be,37139,2003,18,401,,,5039870,2150,1
14,0,4,5,1,6,H,41875.725,254.127,961.6395,42.3545,24283.6294,254.1268,6044955.437,272.816,0
15,,2,4,2,6,He,17592.095,0.053,4878.5199,0.0089,3505.2147,0.0532,6018885.889,0.057,0
16,,0,3,3,6,Li,14086.88044,0.00144,5332.3312,0.0003,-4288.1534,5.4478,6015122.887,0.00155,0
17,,-2,2,4,6,Be,18375.034,5.448,4487.2478,0.908,-28945,2003,6019726.409,5.848,0
18,,-4,1,5,6,B,47320,2003,-467,334,,,6050800,2150,1
19,0,5,6,1,7,H,49135,1004,940,143,23062,1004,7052749,1078,1
20,,3,5,2,7,He,26073.128,7.559,4123.0578,1.0799,11166.0229,7.5595,7027990.652,8.115,0
21,,1,4,3,7,Li,14907.10463,0.00419,5606.4401,0.0006,-861.893,0.0707,7016003.434,0.0045,0
22,,-1,3,4,7,Be,15768.998,0.071,5371.5487,0.0101,-11907.5551,25.1504,7016928.714,0.076,0
23,,-3,2,5,7,B,27676.553,25.15,3558.7055,3.5929,,,7029712,27,0
24,0,4,6,2,8,He,31609.683,0.089,3924.521,0.0111,10663.8784,0.1005,8033934.388,0.095,0
25,,2,5,3,8,Li,20945.805,0.047,5159.7124,0.0059,16004.1329,0.0591,8022486.244,0.05,0
26,,0,4,4,8,Be,4941.672,0.035,7062.4356,0.0044,-17979.8973,1.0005,8005305.102,0.037,0
27,,-2,3,5,8,B,22921.569,1,4717.1551,0.125,-12142.7002,18.2704,8024607.315,1.073,0
28,,-4,2,6,8,C,35064.269,18.243,3101.5242,2.2804,,,8037643.039,19.584,0
29,0,5,7,2,9,He,40935.826,46.816,3349.038,5.2018,15980.9213,46.8169,9043946.414,50.259,0
30,,3,6,3,9,Li,24954.905,0.186,5037.7685,0.0207,13606.4541,0.2014,9026790.191,0.2,0
31,,1,5,4,9,Be,11348.451,0.076,6462.6693,0.0085,-1068.0349,0.8994,9012183.062,0.082,0
32,,-1,4,5,9,B,12416.486,0.903,6257.0713,0.1003,-16494.4854,2.3195,9013329.645,0.969,0
33,,-3,3,6,9,C,28910.971,2.137,4337.4233,0.2374,,,9031037.202,2.293,0
34,0,6,8,2,10,He,49197.147,92.848,2995.134,9.2848,16144.5191,93.7152,10052815.31,99.676,0
35,,4,7,3,10,Li,33052.628,12.721,4531.3512,1.2721,20445.1411,12.7216,10035483.45,13.656,0
36,,2,6,4,10,Be,12607.487,0.081,6497.6306,0.0081,556.8759,0.0822,10013534.69,0.086,0
37,,0,5,5,10,B,12050.611,0.015,6475.0835,0.0015,-3648.0623,0.0687,10012936.86,0.016,0
38,,-2,4,6,10,C,15698.673,0.07,6032.0426,0.007,-23101.3545,400,10016853.22,0.075,0
39,,-4,3,7,10,N,38800.027,400,3643.6724,40,,,10041653.54,429.417,0
40,0,5,8,3,11,Li,40728.259,0.615,4155.3817,0.0559,20551.0898,0.6591,11043723.58,0.66,0
41,,3,7,4,11,Be,20177.169,0.238,5952.5402,0.0216,11509.4607,0.238,11021661.08,0.255,0
42,,1,6,5,11,B,8667.708,0.012,6927.7323,0.0011,-1981.6889,0.0608,11009305.17,0.013,0
43,,-1,5,6,11,C,10649.397,0.06,6676.4563,0.0054,-13716.2469,5.0008,11011432.6,0.064,0
44,,-3,4,7,11,N,24365.644,5,5358.4023,0.4546,-23373.2693,60.2459,11026157.59,5.368,0
45,,-5,3,8,11,O,47738.913,60.038,3162.4372,5.458,,,11051249.83,64.453,0
46,0,6,9,3,12,Li,49009.577,30.006,3791.5999,2.5005,23931.8152,30.0669,12052613.94,32.213,0
47,,4,8,4,12,Be,25077.761,1.909,5720.7223,0.159,11708.3636,2.3214,12026922.08,2.048,0
48,,2,7,5,12,B,13369.398,1.321,6631.2237,0.1101,13369.3979,1.3214,12014352.64,1.418,0
49,,0,6,6,12,C,0,0,7680.1446,0.0002,-17338.0681,0.9999,12000000,0,0
